N,Case,Algorithm,AvgTime_us,AvgComps
100,Random,QuickStd,35.3571,15244
100,Random,MergeStd,48.0429,1142
100,Random,Quick3Way,7.12857,685
100,Random,MergeLCP,33.2714,1054
100,Random,MSDRadix,46.7,0
100,Random,MSDCutoff,5.17143,61
100,Reversed,QuickStd,37.5714,13406
100,Reversed,MergeStd,43.5429,921
100,Reversed,Quick3Way,8.07143,974
100,Reversed,MergeLCP,28.1571,600
100,Reversed,MSDRadix,42.4714,0
100,Reversed,MSDCutoff,15.9857,1442
100,AlmostSorted,QuickStd,31.0429,13254
100,AlmostSorted,MergeStd,33.7143,1039
100,AlmostSorted,Quick3Way,7.07143,757
100,AlmostSorted,MergeLCP,19.7143,791
100,AlmostSorted,MSDRadix,38.3,0
100,AlmostSorted,MSDCutoff,10.1571,612
200,Random,QuickStd,68.1,28474
200,Random,MergeStd,108.714,2731
200,Random,Quick3Way,17.0286,1654
200,Random,MergeLCP,81.9,2529
200,Random,MSDRadix,83.7714,0
200,Random,MSDCutoff,9.25714,209
200,Reversed,QuickStd,62.5286,28124
200,Reversed,MergeStd,91.7857,2012
200,Reversed,Quick3Way,20.3571,2536
200,Reversed,MergeLCP,67.2857,1372
200,Reversed,MSDRadix,71.0143,0
200,Reversed,MSDCutoff,29.6143,2860
200,AlmostSorted,QuickStd,68.8,28479
200,AlmostSorted,MergeStd,75.5286,2557
200,AlmostSorted,Quick3Way,15.9143,1777
200,AlmostSorted,MergeLCP,51.5571,2059
200,AlmostSorted,MSDRadix,83.4571,0
200,AlmostSorted,MSDCutoff,18.4143,1328
300,Random,QuickStd,107.529,42845
300,Random,MergeStd,171.257,4640
300,Random,Quick3Way,26.3714,2398
300,Random,MergeLCP,135.971,4220
300,Random,MSDRadix,181.957,0
300,Random,MSDCutoff,18.4286,420
300,Reversed,QuickStd,104.471,39798
300,Reversed,MergeStd,147.043,3177
300,Reversed,Quick3Way,29.7286,4116
300,Reversed,MergeLCP,112.5,2396
300,Reversed,MSDRadix,96.1429,0
300,Reversed,MSDCutoff,39.4143,4457
300,AlmostSorted,QuickStd,101.314,43685
300,AlmostSorted,MergeStd,136.829,4614
