Array length;Merge Sort Random;Merge Sort Reverse Sorted;Merge Sort Almost Sorted;Merge+Insertion Sort Random;Merge+Insertion Sort Reverse Sorted;Merge+Insertion Almost Sorted
500;266.2;274;256.2;78.5;75.6;73.7
600;313.9;325;355;75.6;74.6;77.7
700;378.2;481.6;336.8;98.3;103;104.8
800;445.5;437.4;425.9;144.4;149.8;147.3
900;486.1;483.9;469.5;149.1;169.4;178.2
1000;620.7;553.4;581.8;177.9;180.2;187.7
1100;644.2;598.2;598.2;198.2;209.8;198.4
1200;758.6;664;625.8;229.1;242.5;200.6
1300;841.2;885.2;691.2;229.4;222.8;193.6
1400;857.9;823.5;806.4;295.3;256;266.6
1500;968.5;898.1;807.3;321;298;312.2
1600;1004.4;920.9;964.6;319.8;486.5;363.6
1700;1089.6;1180.2;922.3;447.4;344.9;332.2
1800;1222.7;1093.6;994.8;350.7;365.8;380.5
1900;1128.5;1069.5;1021.8;346.7;324.2;351
2000;1348;1221.8;1098.1;365.6;359;351.3
2100;1377.8;1301.1;1163.8;390.2;373.4;363.3
2200;1530.5;1500;1286.8;364.3;390.6;376
2300;1492.5;1350.4;1305.2;332.2;371.3;374.8
2400;1617.9;1363.1;1343.4;402.1;392.6;333.6
2500;1552.1;1406.4;1299.7;373.8;327.6;365.8
2600;1662.1;1456.3;1422.3;380.3;371.5;362.6
2700;1768;1459.3;1475.4;413.3;407.1;423.4
2800;1646.6;1633.5;1515;483;450.3;470.9
2900;1796.8;1582.6;1560.2;477.5;507.5;513.8
3000;1769.1;1603.9;1568.6;557.1;572.2;591.9
3100;1896.3;1677.2;1708;682.9;602.8;732.3
3200;1906.4;1950.7;1743.4;613.1;726.1;774.9
3300;2018.3;1775.7;1737.6;721.3;682.6;622.5
3400;2017.6;2011.5;1905.1;754.6;724.2;838.5
3500;2023.3;2032.2;1865;607.3;721.3;602.7
3600;2108.7;2201.3;1895.3;814.2;984.8;686
3700;2066.4;2140.1;2048.5;735.7;817.3;698
3800;2209.6;2274.9;2310;846.1;788.7;784.2
3900;2289;2365.8;2717.6;1391.7;1159.8;1130.5
4000;2299;2294;2282.2;1014.7;867.6;976.4
4100;2507.1;2399.8;2509.8;1084.6;1147.9;1398.7
4200;2543.6;3181.1;3287.9;1718.1;1341.4;1629.7
4300;2526.5;2728.1;2596;696.9;856.4;765.4
4400;2640.8;3065;3368.8;1295.5;1922.5;1299.1
4500;2625.2;3061;3286;1370.1;1754.5;1653
4600;2778.9;2928.2;2797.9;682.6;803.8;757.3
4700;2630.3;3075.1;3524.2;829;828.9;781.8
4800;2744;2805.8;3463.1;835.2;1022.6;839.8
4900;2856;3698.7;2633.6;792.8;1110.5;1257.4
5000;3006.3;3061.2;2719.9;847.2;710.5;984.5
5100;2835.4;3495;2848.7;961;869.2;1230.1
5200;2924.7;4355.4;2918.7;1361.3;1167.8;1353.1
5300;3061.7;4409.6;3583.2;1300.7;1299.5;1244.8
5400;2954.3;3069.3;3292.2;1325.3;1278;1559.7
5500;3095.2;3750;3419.4;1906;1702.6;2035.8
5600;3341.7;3193.4;3112.8;1599.5;1284.1;1466.6
5700;3355.9;3234.2;3367.4;1157.9;1675.6;1547.2
5800;3267.3;3218.4;3306.9;1144.1;1814.6;1482.6
5900;3356.3;3666.2;3632.4;1717.3;2311.4;1922.9
6000;3412.2;3643.4;3575.4;1854.8;1677.3;1839.9
6100;3324.4;4054.1;4185.4;2242.3;2015.1;2738.3
6200;3846.6;3816.6;4526.6;1595.4;1619;2393.2
6300;3544.4;4231.8;4303.4;1463.5;1986.8;2171.5
6400;3633.1;4518.4;4936.2;1751.6;2438.7;2559.4
6500;3973.7;3828.1;3688.8;2086.1;1740;1378.9
6600;3713.8;4312.5;3983.5;2346.8;1860.3;1572.3
6700;3865.9;4474;4269.9;2198.6;1943.7;1961.9
6800;3959;5178.3;4549.5;2510.7;2217.9;2285.3
6900;3900.3;5111.8;4783;1956.2;2283.6;2219.3
7000;3811.8;3615.3;3765.6;1294.2;1246.8;1282.4
7100;4024.1;4091.5;3826.6;1352.2;1211.7;1302.7
7200;3990.5;3754.7;4087.5;1505.2;1306.6;1293.1
7300;4070.6;4098.4;3976.1;1528.7;1245.4;1322.3
7400;4225.4;4259.5;3922.6;1385.3;1401.2;1349.8
7500;4134.5;4324.7;4152.6;1529.1;1403.4;1272.1
7600;4118.2;4263.2;4342.2;1397.9;1430.5;1445.7
7700;4305.8;4240.3;4298.5;1648.9;1418;1486.8
7800;4414.3;4632.9;4671;1570.3;1596.7;1646.4
7900;4444;4259;4301.1;1358.9;1342.4;1327.8
8000;4453.9;4529.3;4295.2;1372.4;1503.4;1483.9
8100;4592;4650.4;4527.8;1357.4;1520.5;1729.8
8200;4675.4;4611;4568.8;1469.4;1634.2;1714.4
8300;4729.9;4952.7;4872.3;1606.1;1770.4;1925.7
8400;4893.4;4943.7;4933.5;1633;1720;1919.4
8500;4734.3;4826.5;4815.8;1417.8;1719.6;1509.6
8600;4855.9;4888.8;4662.5;1380.9;1360.5;1455.3
8700;5098.7;4998.8;4682.6;1607.4;1496.9;1688.6
8800;5409.1;5080.5;4927.3;1776.7;1613.4;1656.5
8900;5507.1;5156.5;4899.1;1650.1;1669;1754.6
9000;5181.5;5369.8;5347.2;1637.6;1651.7;1722.3
9100;5526.6;5305;5463.2;1917.1;1996.8;2152.3
9200;4998.3;5183.2;4739.1;1337.9;1378.5;1305.6
9300;5138.1;5190.5;4908.3;1336.2;1403.4;1407.2
9400;5045.4;5380.5;5196.2;1345.4;1355.7;1398.8
9500;5384.9;5856.8;5141.2;1466.1;1349.2;1493.8
9600;5144.5;5386.6;5172.6;1387.2;1381.1;1435.3
9700;5688.4;5139.2;5227.5;1457.9;1589.7;1427.4
9800;5692.7;5073.6;5097.5;1418.5;1524.8;1478
9900;5925.1;5219.7;5120.3;1626;1684.2;1572
10000;5344.4;5069;5087.1;1327.9;1394.2;1466.6
